SN,Pass/Fail,errStr,StartTime,EndTime,TestTime,MTCP:TSCR,MTCP:TSCR:Child1,MTCP:TSCR:Child2,MTCP:INIT,DPCK:Supply VDD_D&VDD_P,DPCK:Read Calypso NVM,DPCK:Measure Calypos Current(Yogi Standby),DPCK:Measure Calypos Current(Yogi Active),DPCK:Read Yogi I2C,MTCP:DPCK,MTCP:POST,MTCP:POST,MTCP:POST
Function,,,,,,function1,function1,function1,function2,function3,function4,function5,function6,function7,function8,function9,function10,function11
Mode,,,,,,test,test,test,skip,test,test,test,test,test,test,test,test,test
Lower Limit,,,,,,nan,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Upper Limit,,,,,,nan,1,1,1,1,1,1,1,1,1,1,1,1
12345678,Pass,no error,2017-07-04 17:13:05,2017-07-04 17:13:08,3.4,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-04 17:13:10,2017-07-04 17:13:13,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-04 17:13:15,2017-07-04 17:13:18,3.4,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-04 17:13:20,2017-07-04 17:13:24,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-04 17:13:26,2017-07-04 17:13:29,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-04 17:14:16,2017-07-04 17:14:19,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-04 17:14:21,2017-07-04 17:14:25,3.42,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-04 17:14:26,2017-07-04 17:14:29,3.4,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-04 17:14:31,2017-07-04 17:14:35,3.42,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
12345678,Pass,no error,2017-07-04 17:14:35,2017-07-04 17:14:39,3.41,nan,0.5,0.6,None,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9
